pkg,t_rel_s,action,target,slots(name:rarity:conf)
solo_ingame_chain_20260907_220109_971377,173.1,refresh,bond_refresh_btn,异火:orange:0.57|体术:red:0.66|魔术:orange:0.96|箭术:orange:0.96
solo_ingame_chain_20260907_220109_971377,176.5,pick,急速,修仙:purple:0.87|魔能:purple:0.98|魔术:orange:0.96|急速:orange:0.97
solo_ingame_chain_20260907_220109_971377,186.2,refresh,bond_refresh_btn,箭术:orange:0.98|亡灵:orange:0.79|藏宝图:red:0.99|藏宝图:red:0.99
solo_ingame_chain_20260907_220109_971377,189.6,pick,魔能,魔能:purple:0.99|刀刀:orange:0.51|异火:orange:0.87|力量:orange:0.92
solo_ingame_chain_20260907_220109_971377,196.4,pick,急速,魔术:orange:0.99|三国:orange:0.71|急速:blue:0.95|藏宝图:orange:0.99
solo_ingame_chain_20260907_220109_971377,205.1,pick,魔能,箭术:orange:0.98|敏捷:green:0.56|智力:blue:0.86|魔能:orange:0.99
solo_ingame_chain_20260907_220109_971377,213.8,pick,封神,魔术:orange:0.99|三国:orange:0.71|魔术:orange:0.96|封神:orange:0.98
solo_ingame_chain_20260907_220109_971377,220.8,pick,封神,箭术:orange:0.99|封神:red:0.83|体术:orange:0.88|封神:orange:0.98
solo_ingame_chain_20260907_220109_971377,229.8,pick,封神,力量:red:0.89|体术:red:0.67|封神:orange:0.85|智力:orange:0.92
solo_ingame_chain_20260907_220109_971377,236.6,pick,封神,修仙:green:0.87|魔术:orange:0.99|体术:red:0.88|封神:orange:0.98
solo_ingame_chain_20260907_220109_971377,244.0,pick,封神,体术:red:0.84|封神:orange:0.83|魔术:orange:0.96|肉身成圣:orange:0.99
solo_ingame_chain_20260907_220109_971377,254.9,refresh,bond_refresh_btn,藏宝图:orange:0.93|亡灵:orange:0.79|肉身成圣:orange:0.99|箭术:orange:0.97
solo_ingame_chain_20260907_220109_971377,257.4,pick,封神,肉身成圣:green:1.0|致命:orange:0.77|异火:orange:0.87|封神:orange:0.98
solo_ingame_chain_20260907_220109_971377,266.7,refresh,bond_refresh_btn,刀刀:orange:0.76|:orange:0.37|魔术:orange:0.96|肉身成圣:orange:0.99
solo_ingame_chain_20260907_220109_971377,270.2,refresh,bond_refresh_btn,修仙:green:0.87|体术:red:0.67|体术:red:0.88|体术:orange:0.94
solo_ingame_chain_20260907_220109_971377,272.6,pick,封神,封神:orange:0.95|三国:orange:0.71|修仙:purple:0.92|力量:orange:0.93
solo_ingame_chain_20260907_220109_971377,283.6,refresh,bond_refresh_btn,异火:orange:0.57|肉身成圣:green:1.0|刀刀:orange:0.89|肉身成圣:orange:1.0
solo_ingame_chain_20260907_220109_971377,286.8,refresh,bond_refresh_btn,异火:red:0.7|肉身成圣:green:1.0|刀刀:orange:0.9|肉身成圣:orange:1.0
solo_ingame_chain_20260907_220109_971377,290.1,refresh,bond_refresh_btn,异火:orange:0.57|肉身成圣:green:1.0|刀刀:orange:0.89|肉身成圣:orange:0.99
solo_ingame_chain_20260907_220109_971377,293.6,refresh,bond_refresh_btn,刀刀:orange:0.76|:orange:0.38|刀刀:orange:0.89|魔术:orange:0.99
solo_ingame_chain_20260907_220109_971377,300.5,refresh,bond_refresh_btn,箭术:orange:0.99|:orange:0.36|修仙:green:0.92|魔术:orange:0.99
solo_ingame_chain_20260907_220109_971377,303.0,refresh,bond_refresh_btn,魔术:orange:0.99|肉身成圣:green:1.0|三国:orange:0.96|修仙:orange:0.93
solo_ingame_chain_20260907_220109_971377,305.5,pick,急速,急速:blue:0.95|修仙:green:0.78|藏宝图:red:1.0|体术:orange:0.98
solo_ingame_chain_20260914_212509_916691,16.8,pick,祝福,祝福:blue:0.97|祝福:orange:0.97|祝福:orange:0.97|修仙:orange:0.88
solo_ingame_chain_20260914_212509_916691,29.8,pick,祝福,祝福:orange:0.97|祝福:orange:0.97|体术:orange:0.92|箭术:orange:0.92
solo_ingame_chain_20260914_212509_916691,36.2,pick,祝福,祝福:blue:0.97|:orange:0.32|刀刀:orange:0.9|体术:orange:0.94
solo_ingame_chain_20260914_212509_916691,45.7,refresh,bond_refresh_btn,体术:red:0.82|体术:red:0.66|藏宝图:red:1.0|异火:orange:0.91
solo_ingame_chain_20260914_212509_916691,49.5,pick,成长,亡灵:purple:0.97|体术:red:0.67|成长:orange:0.99|法术:orange:0.99
solo_ingame_chain_20260914_212509_916691,59.7,pick,法术,修仙:purple:0.83|法术:orange:0.99|三国:orange:0.96|修仙:orange:0.88
solo_ingame_chain_20260914_212509_916691,66.8,pick,法术,法术:blue:0.99|法术:orange:0.99|成长:orange:0.99|暴击:orange:0.98
solo_ingame_chain_20260914_212509_916691,73.2,pick,成长,修仙:green:0.83|经济:orange:0.98|成长:orange:0.99|成长:orange:0.97
solo_ingame_chain_20260914_212509_916691,81.9,pick,法术,法术:blue:0.99|封神:orange:0.5|体术:orange:0.92|经济:orange:0.98
solo_ingame_chain_20260914_212509_916691,88.5,pick,成长,异火:orange:0.5|成长:orange:0.98|藏宝图:red:1.0|箭术:orange:0.93
solo_ingame_chain_20260914_212509_916691,95.4,pick,成长,急速:blue:0.95|:orange:0.32|魔术:orange:0.98|成长:orange:0.97
solo_ingame_chain_20260914_212509_916691,105.9,pick,急速,急速:blue:0.95|藏宝图:red:0.99|异火:orange:0.93|刀刀:orange:0.91
solo_ingame_chain_20260914_212509_916691,114.0,refresh,bond_refresh_btn,箭术:orange:0.99|藏宝图:red:0.99|体术:red:0.92|敏捷:orange:0.9
solo_ingame_chain_20260914_212509_916691,116.4,pick,急速,经济:orange:0.98|三国:orange:0.7|体术:red:0.92|急速:orange:0.96
solo_ingame_chain_20260914_212509_916691,126.8,pick,魔能,魔能:purple:0.99|魔术:orange:0.99|敏捷:green:0.92|智力:orange:0.92
solo_ingame_chain_20260914_212509_916691,133.4,pick,急速,经济:orange:0.98|三国:orange:0.7|急速:blue:0.95|藏宝图:orange:0.98
solo_ingame_chain_20260914_212509_916691,141.9,pick,经济,藏宝图:orange:0.94|经济:orange:0.98|体术:red:0.92|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,150.1,pick,经济,经济:orange:0.98|箭术:orange:0.97|魔术:orange:0.98|三国:orange:0.82
solo_ingame_chain_20260914_212509_916691,156.3,pick,魔能,三国:orange:0.99|魔能:purple:0.98|暴击:blue:0.98|修仙:green:0.93
solo_ingame_chain_20260914_212509_916691,164.4,refresh,bond_refresh_btn,力量:red:0.86|体术:red:0.67|魔术:orange:0.98|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,166.8,pick,经济,藏宝图:orange:0.94|箭术:orange:0.94|敏捷:green:0.92|经济:orange:0.98
solo_ingame_chain_20260914_212509_916691,176.2,refresh,bond_refresh_btn,修仙:green:0.83|藏宝图:red:0.99|箭术:orange:0.99|藏宝图:orange:0.98
solo_ingame_chain_20260914_212509_916691,180.2,refresh,bond_refresh_btn,魔术:orange:1.0|亡灵:orange:0.79|魔术:orange:0.98|三国:orange:0.96
solo_ingame_chain_20260914_212509_916691,184.5,pick,暴击,暴击:green:0.98|三国:orange:0.7|魔术:orange:0.98|智力:orange:0.92
solo_ingame_chain_20260914_212509_916691,192.9,refresh,bond_refresh_btn,箭术:orange:0.98|:orange:0.32|修仙:purple:0.95|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,195.4,pick,暴击,刀刀:orange:0.69|贪婪:red:0.95|修仙:green:0.95|暴击:orange:0.98
solo_ingame_chain_20260914_212509_916691,206.0,pick,挑战,异火:orange:0.49|箭术:orange:0.94|藏宝图:red:1.0|挑战:orange:0.92
solo_ingame_chain_20260914_212509_916691,212.8,pick,挑战,挑战:orange:0.96|体术:red:0.67|挑战:orange:0.98|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,221.3,refresh,bond_refresh_btn,智力:purple:0.7|修仙:green:0.78|亡灵:orange:0.81|藏宝图:orange:0.97
solo_ingame_chain_20260914_212509_916691,225.3,pick,封神,魔术:orange:1.0|魔术:orange:0.99|封神:orange:0.94|修仙:orange:0.9
solo_ingame_chain_20260914_212509_916691,234.1,pick,封神,亡灵:purple:0.97|魔术:orange:0.99|封神:orange:0.93|封神:orange:0.98
solo_ingame_chain_20260914_212509_916691,241.2,pick,挑战,修仙:purple:0.83|肉身成圣:green:1.0|贪婪:red:0.95|挑战:orange:0.92
solo_ingame_chain_20260914_212509_916691,250.1,refresh,bond_refresh_btn,藏宝图:orange:0.94|箭术:orange:0.97|箭术:orange:0.99|藏宝图:orange:0.97
solo_ingame_chain_20260914_212509_916691,252.6,pick,封神,封神:orange:0.95|箭术:orange:0.96|魔术:orange:0.98|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,263.2,pick,贪婪,肉身成圣:green:1.0|贪婪:red:0.95|异火:orange:0.94|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,270.5,pick,贪婪,贪婪:red:0.95|修仙:purple:0.78|封神:orange:0.93|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,277.6,pick,贪婪,魔术:orange:1.0|肉身成圣:green:1.0|贪婪:red:0.95|封神:red:0.99
solo_ingame_chain_20260914_212509_916691,288.4,refresh,bond_refresh_btn,藏宝图:orange:0.94|敏捷:green:0.56|亡灵:orange:0.81|肉身成圣:orange:0.9
solo_ingame_chain_20260914_212509_916691,292.6,refresh,bond_refresh_btn,智力:purple:0.7|修仙:green:0.78|魔术:orange:0.98|亡灵:orange:0.96
solo_ingame_chain_20260914_212509_916691,296.5,refresh,bond_refresh_btn,智力:purple:0.7|魔术:orange:0.99|箭术:orange:0.99|体术:orange:0.93
solo_ingame_chain_20260914_212509_916691,298.9,pick,封神,致命:red:0.88|箭术:orange:0.96|封神:orange:0.94|封神:orange:0.99
solo_ingame_chain_20260914_212509_916691,529.2,pick,封神,敏捷:green:0.79|刀刀:orange:0.5|封神:orange:0.93|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,538.2,refresh,bond_refresh_btn,魔术:orange:1.0|修仙:purple:0.78|体术:red:0.92|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,542.5,refresh,bond_refresh_btn,魔术:orange:1.0|力量:red:0.89|修仙:purple:0.95|致命:orange:0.96
solo_ingame_chain_20260914_212509_916691,545.0,pick,封神,修仙:green:0.83|封神:red:0.78|体术:red:0.92|刀刀:orange:0.9
solo_ingame_chain_20260914_212509_916691,553.3,pick,封神,封神:red:0.95|体术:red:0.67|箭术:orange:0.99|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,562.1,refresh,bond_refresh_btn,体术:red:0.82|魔术:orange:0.99|体术:red:0.92|力量:orange:0.91
solo_ingame_chain_20260914_212509_916691,564.5,pick,封神,藏宝图:orange:0.94|封神:orange:0.78|箭术:orange:0.99|修仙:orange:0.88
solo_ingame_chain_20260914_212509_916691,573.4,refresh,bond_refresh_btn,敏捷:green:0.79|致命:red:0.76|箭术:orange:0.99|箭术:orange:0.93
solo_ingame_chain_20260914_212509_916691,577.2,refresh,bond_refresh_btn,肉身成圣:green:1.0|藏宝图:red:0.99|智力:blue:0.89|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,581.5,refresh,bond_refresh_btn,藏宝图:orange:0.94|修仙:purple:0.78|体术:red:0.92|魔术:orange:0.99
solo_ingame_chain_20260914_212509_916691,583.9,hide,card_hide,体术:red:0.82|修仙:purple:0.78|魔术:orange:0.98|魔术:orange:0.99
solo_ingame_chain_20260914_225835_837539,17.7,pick,祝福,祝福:purple:0.97|祝福:orange:0.97|祝福:orange:0.97|体术:orange:0.96
solo_ingame_chain_20260914_225835_837539,27.1,pick,祝福,祝福:orange:0.97|祝福:orange:0.97|亡灵:orange:0.81|藏宝图:orange:0.98
solo_ingame_chain_20260914_225835_837539,33.8,pick,祝福,祝福:purple:0.97|刀刀:orange:0.55|藏宝图:red:1.0|刀刀:orange:0.9
solo_ingame_chain_20260914_225835_837539,42.6,refresh,bond_refresh_btn,异火:orange:0.5|三国:orange:0.63|体术:red:0.92|箭术:orange:0.95
solo_ingame_chain_20260914_225835_837539,46.7,pick,法术,法术:blue:0.99|:orange:0|体术:orange:0.92|三国:orange:0.77
solo_ingame_chain_20260914_225835_837539,57.8,pick,法术,法术:blue:0.99|法术:orange:0.99|成长:orange:0.99|封神:orange:0.98
solo_ingame_chain_20260914_225835_837539,65.3,pick,法术,法术:blue:0.99|成长:orange:0.96|修仙:purple:0.95|箭术:orange:0.95
solo_ingame_chain_20260914_225835_837539,73.9,refresh,bond_refresh_btn,藏宝图:orange:0.95|修仙:purple:0.77|异火:orange:0.93|刀刀:orange:0.9
solo_ingame_chain_20260914_225835_837539,77.5,refresh,bond_refresh_btn,箭术:orange:0.99|体术:red:0.65|藏宝图:red:1.0|藏宝图:orange:0.98
solo_ingame_chain_20260914_225835_837539,81.4,pick,魔术,体术:red:0.82|体术:red:0.65|藏宝图:red:1.0|魔术:orange:0.99
solo_ingame_chain_20260914_225835_837539,90.2,pick,魔术,魔术:orange:1.0|藏宝图:red:0.99|刀刀:orange:0.9|三国:orange:0.82
solo_ingame_chain_20260914_225835_837539,99.6,pick,魔能,魔能:purple:0.99|三国:orange:0.64|修仙:purple:0.95|刀刀:orange:0.9
solo_ingame_chain_20260914_225835_837539,108.3,pick,急速,急速:blue:0.95|魔法师:purple:0.91|刀刀:orange:0.9|三国:orange:0.8
solo_ingame_chain_20260914_225835_837539,118.4,refresh,bond_refresh_btn,异火:orange:0.5|箭术:orange:0.94|藏宝图:red:1.0|体术:orange:0.94
solo_ingame_chain_20260914_225835_837539,122.5,pick,成长,成长:orange:0.96|魔法师:purple:0.91|体术:red:0.92|魔法师:purple:1.0
solo_ingame_chain_20260914_225835_837539,129.4,pick,成长,成长:orange:0.98|成长:orange:0.98|元素师:blue:0.96|箭术:orange:0.94
solo_ingame_chain_20260914_225835_837539,137.9,pick,成长,成长:orange:0.99|急速:orange:0.95|成长:orange:0.99|体术:orange:0.88
solo_ingame_chain_20260914_225835_837539,146.2,refresh,bond_refresh_btn,箭术:orange:0.99|藏宝图:red:0.99|刀刀:orange:0.9|魔法师:purple:1.0
solo_ingame_chain_20260914_225835_837539,148.5,pick,成长,箭术:green:0.99|经济:orange:0.98|箭术:orange:0.99|成长:orange:0.98
solo_ingame_chain_20260914_225835_837539,155.4,pick,魔能,体术:red:0.82|魔法师:red:0.91|魔能:blue:0.97|智力:orange:0.92
solo_ingame_chain_20260914_225835_837539,165.3,pick,经济,经济:orange:0.98|体术:red:0.65|敏捷:green:0.92|魔法师:purple:1.0
solo_ingame_chain_20260914_225835_837539,172.1,pick,经济,经济:red:0.98|元素师:orange:0.78|刀刀:orange:0.9|元素师:orange:0.98
solo_ingame_chain_20260914_225835_837539,179.0,pick,急速,元素师:white:0.97|三国:orange:0.63|急速:blue:0.95|刀刀:orange:0.91
solo_ingame_chain_20260914_225835_837539,187.5,pick,经济,元素师:green:0.97|经济:orange:0.98|体术:orange:0.92|体术:orange:0.94
solo_ingame_chain_20260914_225835_837539,194.3,pick,急速,挑战:orange:0.96|箭术:orange:0.96|刀刀:orange:0.91|急速:purple:0.96
solo_ingame_chain_20260914_225835_837539,202.8,refresh,bond_refresh_btn,元素师:green:0.97|智力:purple:0.46|魔法师:red:0.99|体术:orange:0.97
solo_ingame_chain_20260914_225835_837539,206.8,pick,挑战,魔法师:blue:1.0|体术:red:0.66|魔法师:red:0.99|挑战:orange:0.92
solo_ingame_chain_20260914_225835_837539,215.4,pick,挑战,异火:orange:0.5|挑战:orange:0.97|亡灵:orange:0.8|暴击:orange:0.98
solo_ingame_chain_20260914_225835_837539,222.1,pick,挑战,魔法师:purple:1.0|贪婪:red:0.95|刀刀:orange:0.9|挑战:orange:0.92
solo_ingame_chain_20260914_225835_837539,230.5,refresh,bond_refresh_btn,魔法师:red:1.0|体术:red:0.65|魔法师:purple:0.99|元素师:orange:0.98
solo_ingame_chain_20260914_225835_837539,234.7,pick,贪婪,元素师:white:0.97|:orange:0.35|魔法师:purple:0.99|贪婪:orange:0.95
solo_ingame_chain_20260914_225835_837539,245.1,refresh,bond_refresh_btn,魔法师:purple:1.0|魔法师:red:0.91|元素师:blue:0.96|异火:orange:0.86
solo_ingame_chain_20260914_225835_837539,247.4,pick,贪婪,体术:red:0.82|贪婪:red:0.95|元素师:blue:0.96|贪婪:orange:0.95
solo_ingame_chain_20260914_225835_837539,256.3,refresh,bond_refresh_btn,藏宝图:orange:0.95|魔法师:red:0.91|三国:orange:0.96|箭术:purple:0.95
solo_ingame_chain_20260914_225835_837539,258.7,pick,贪婪,贪婪:red:0.95|元素师:orange:0.78|元素师:blue:0.96|刀刀:orange:0.91
solo_ingame_chain_20260914_225835_837539,269.0,pick,智力,智力:purple:0.7|刀刀:orange:0.48|元素师:blue:0.96|修仙:orange:0.92
solo_ingame_chain_20260914_225835_837539,275.9,pick,智力,智力:blue:0.93|:orange:0|暴击:blue:0.98|藏宝图:orange:0.98
solo_ingame_chain_20260914_225835_837539,282.7,pick,智力,元素师:green:0.97|智力:orange:0.61|三国:orange:0.96|刀刀:orange:0.89
solo_ingame_chain_20260914_225835_837539,293.1,pick,暴击,魔法师:red:1.0|元素师:orange:0.78|修仙:purple:0.95|暴击:orange:0.98
solo_ingame_chain_20260914_225835_837539,299.8,pick,暴击,亡灵:purple:0.97|暴击:green:0.98|魔法师:purple:0.99|智力:orange:0.8
solo_ingame_chain_20260914_225835_837539,306.7,pick,智力,异火:orange:0.5|智力:orange:0.73|元素师:blue:0.96|元素师:orange:0.98
solo_ingame_chain_20260914_225835_837539,317.3,pick,力量,秘法师:blue:0.9|秘法师:blue:0.85|元素师:blue:0.96|力量:orange:0.87
solo_ingame_chain_20260914_225835_837539,323.8,pick,力量,力量:red:0.96|三国:orange:0.64|体术:red:0.92|力量:orange:0.96
solo_ingame_chain_20260914_225835_837539,330.5,pick,力量,魔法师:blue:1.0|刀刀:orange:0.52|异火:orange:0.93|力量:orange:0.91
solo_ingame_chain_20260914_225835_837539,339.4,pick,力量,力量:red:0.96|魔法师:purple:0.91|修仙:purple:0.95|异火:orange:0.88
solo_ingame_chain_20260914_225835_837539,348.1,refresh,bond_refresh_btn,野蛮人:red:0.95|敏捷:green:0.55|秘法师:orange:0.94|元素师:orange:0.98
solo_ingame_chain_20260914_225835_837539,352.4,refresh,bond_refresh_btn,野蛮人:red:0.95|秘法师:blue:0.85|秘法师:orange:0.94|致命:orange:0.83
solo_ingame_chain_20260914_225835_837539,356.7,pick,封神,魔法师:blue:1.0|体术:red:0.65|封神:orange:0.94|野蛮人:orange:0.89
solo_ingame_chain_20260914_225835_837539,365.3,pick,封神,野蛮人:red:0.95|封神:red:0.73|体术:red:0.92|修仙:orange:0.91
solo_ingame_chain_20260914_225835_837539,636.0,pick,封神,野蛮人:orange:0.96|秘法师:blue:0.84|封神:orange:0.93|封神:orange:0.99
solo_ingame_chain_20260914_225835_837539,644.6,pick,封神,封神:orange:0.96|修仙:green:0.77|肉身成圣:orange:1.0|元素师:orange:0.98
solo_ingame_chain_20260914_225835_837539,653.6,refresh,bond_refresh_btn,亡灵:purple:0.97|刀刀:orange:0.48|野蛮人:purple:0.94|元素师:orange:0.98
solo_ingame_chain_20260914_225835_837539,656.1,pick,封神,异火:orange:0.5|魔法师:red:0.91|刀刀:orange:0.9|封神:orange:0.98
solo_ingame_chain_20260914_225835_837539,664.4,refresh,bond_refresh_btn,秘法师:blue:0.9|箭术:orange:0.94|野蛮人:red:0.92|藏宝图:red:0.98
solo_ingame_chain_20260914_225835_837539,668.6,refresh,bond_refresh_btn,肉身成圣:green:1.0|秘法师:blue:0.85|修仙:green:0.96|体术:red:0.94
solo_ingame_chain_20260914_225835_837539,672.5,refresh,bond_refresh_btn,箭术:orange:0.99|三国:orange:0.63|箭术:orange:0.99|箭术:red:0.95
solo_ingame_chain_20260914_225835_837539,675.1,hide,card_hide,修仙:purple:0.82|野蛮人:orange:0.87|元素师:blue:0.96|肉身成圣:red:0.93
solo_ingame_chain_20260914_225835_837539,899.7,refresh,bond_refresh_btn,修仙:purple:0.83|野蛮人:orange:0.87|元素师:blue:0.96|肉身成圣:orange:0.94
solo_ingame_chain_20260914_225835_837539,902.2,refresh,bond_refresh_btn,魔法师:red:1.0|致命:red:0.74|修仙:purple:0.95|藏宝图:orange:0.99
solo_ingame_chain_20260914_225835_837539,904.8,refresh,bond_refresh_btn,野蛮人:orange:0.95|野蛮人:orange:0.87|元素师:blue:0.96|刀刀:orange:0.91
solo_ingame_chain_20260914_225835_837539,907.4,hide,card_hide,元素师:green:0.97|野蛮人:orange:0.87|秘法师:blue:0.94|致命:orange:0.98
solo_ingame_chain_20260914_225835_837539,963.7,refresh,bond_refresh_btn,元素师:green:0.97|野蛮人:orange:0.87|秘法师:blue:0.94|致命:red:0.95
solo_ingame_chain_20260914_225835_837539,966.1,pick,封神,魔法师:blue:1.0|野蛮人:red:0.87|箭术:orange:0.99|封神:orange:0.97
solo_ingame_chain_20260914_225835_837539,979.0,refresh,bond_refresh_btn,魔法师:purple:1.0|亡灵:orange:0.79|刀刀:orange:0.91|异火:orange:0.87
solo_ingame_chain_20260914_225835_837539,981.7,pick,封神,野蛮人:orange:0.95|封神:orange:0.72|肉身成圣:orange:1.0|野蛮人:orange:0.93
solo_ingame_chain_20260915_000229_642428,18.0,pick,祝福,祝福:orange:0.97|祝福:orange:0.97|祝福:green:0.97|三国:orange:0.82
solo_ingame_chain_20260915_000229_642428,28.8,pick,祝福,祝福:blue:0.97|祝福:orange:0.97|藏宝图:red:1.0|成长:orange:0.97
solo_ingame_chain_20260915_000229_642428,35.6,pick,祝福,祝福:purple:0.97|成长:orange:0.96|藏宝图:red:1.0|修仙:orange:0.97
solo_ingame_chain_20260915_000229_642428,43.9,pick,成长,修仙:green:0.82|成长:orange:0.97|法术:orange:0.99|法术:orange:0.99
solo_ingame_chain_20260915_000229_642428,52.6,pick,成长,经济:red:0.98|成长:orange:0.98|刀刀:orange:0.9|体术:orange:0.94
solo_ingame_chain_20260915_000229_642428,61.1,pick,法术,亡灵:purple:0.97|箭术:orange:0.97|法术:orange:0.99|刀刀:orange:0.88
solo_ingame_chain_20260915_000229_642428,68.0,pick,成长,亡灵:purple:0.97|体术:red:0.68|成长:orange:0.99|法术:orange:0.99
solo_ingame_chain_20260915_000229_642428,76.6,pick,法术,箭术:orange:0.99|法术:orange:0.99|修仙:green:0.96|修仙:orange:0.97
solo_ingame_chain_20260915_000229_642428,83.4,pick,法术,法术:blue:0.99|刀刀:orange:0.54|经济:orange:0.98|三国:orange:0.83
solo_ingame_chain_20260915_000229_642428,92.0,pick,急速,急速:blue:0.95|三国:orange:0.71|魔能:blue:0.97|异火:orange:0.94
solo_ingame_chain_20260915_000229_642428,102.1,pick,魔能,魔能:purple:0.99|魔术:orange:0.99|魔能:blue:0.97|体术:orange:0.87
solo_ingame_chain_20260915_000229_642428,108.8,pick,成长,三国:orange:0.99|成长:orange:0.98|体术:red:0.92|魔术:orange:0.99
solo_ingame_chain_20260915_000229_642428,115.7,pick,急速,魔术:orange:1.0|急速:orange:0.95|智力:blue:0.89|力量:orange:0.9
solo_ingame_chain_20260915_000229_642428,126.1,pick,魔术,魔术:orange:1.0|修仙:green:0.79|魔术:orange:0.98|刀刀:orange:0.86
solo_ingame_chain_20260915_000229_642428,133.5,pick,魔术,魔术:orange:1.0|体术:red:0.68|亡灵:orange:0.81|箭术:orange:0.92
solo_ingame_chain_20260915_000229_642428,140.6,pick,魔能,经济:orange:0.98|魔法师:red:0.91|急速:blue:0.95|魔能:orange:0.99
solo_ingame_chain_20260915_000229_642428,151.1,refresh,bond_refresh_btn,魔法师:blue:1.0|元素师:orange:0.78|体术:orange:0.92|藏宝图:orange:0.98
solo_ingame_chain_20260915_000229_642428,155.3,pick,敏捷,体术:red:0.82|刀刀:orange:0.54|修仙:purple:0.96|敏捷:orange:0.92
solo_ingame_chain_20260915_000229_642428,162.1,pick,敏捷,敏捷:green:0.89|刀刀:orange:0.54|藏宝图:red:1.0|敏捷:orange:0.88
